shelfmark,term,signal_weight,section,snippet,detail_url,viewer_url,score
Arch.Cap.S.Pietro.B.79,palinsesto,10.0,Bibliographic References:,"Bibliographic References: 1) Tangari, Nicola Il palinsesto V C 14 della Biblioteca Nazionale di Napoli: un antifonario del secolo X/XI e il Doctrinale di Alexander de Villa Dei, Scritture e libri del medioevo 2026.",https://digi.vatlib.it/mss/detail/Arch.Cap.S.Pietro.B.79,https://digi.vatlib.it/view/MSS_Arch.Cap.S.Pietro.B.79,5.5
Arch.Cap.S.Pietro.G.51,palinsesto,10.0,General Data,"1) Nicolai Michaelis Bonaiuti, florentini, carmina et epistulae poeticae. Sec. XV",https://digi.vatlib.it/mss/detail/Arch.Cap.S.Pietro.G.51,https://digi.vatlib.it/view/MSS_Arch.Cap.S.Pietro.G.51,11.5
Arch.Cap.S.Pietro.G.52,palinsesto,10.0,General Data,"1) Nicolai Michaelis Bonaiuti, liber sancatae Hierusalem, carmen heroicum, libri I-XII. Sec. XV",https://digi.vatlib.it/mss/detail/Arch.Cap.S.Pietro.G.52,https://digi.vatlib.it/view/MSS_Arch.Cap.S.Pietro.G.52,11.5
Arch.Cap.S.Pietro.G.53,palinsesto,10.0,General Data,"1) Nicolai Michaelis Bonaiuti, liber sanctae basilicae, carmen heroicum, libri I-VI. Sec. XV",https://digi.vatlib.it/mss/detail/Arch.Cap.S.Pietro.G.53,https://digi.vatlib.it/view/MSS_Arch.Cap.S.Pietro.G.53,11.5
Arch.Cap.S.Pietro.G.54,palinsesto,10.0,General Data,"1) Nicolai Michaelis Bonaiuti, liber in figura paradisi delitiarum de quatuor virtutibus cardinalibus (libri I-IV) et liber in figura sancti sepulcri (liber I-VI). Sec. XV",https://digi.vatlib.it/mss/detail/Arch.Cap.S.Pietro.G.54,https://digi.vatlib.it/view/MSS_Arch.Cap.S.Pietro.G.54,11.5
Barb.gr.39,palinsesto,10.0,Bibliographic References:,"Bibliographic References: 1) Broia, Daniele Per una rilettura del palinsesto Vat. gr. 2061 A: saggio di ripristino digitale e di edizione diplomatica del Nomocanone alla luce del sistema RE.CO.RD®, In Bollettino della Badia greca di Grottaferrata 1999",https://digi.vatlib.it/mss/detail/Barb.gr.39,https://digi.vatlib.it/view/MSS_Barb.gr.39,5.5
Barb.gr.455,palinsesto,10.0,Bibliographic References:,"Low Quality Bibliographic References: 1) Broia, Daniele Per una rilettura del palinsesto Vat. gr. 2061 A: saggio di ripristino digitale e di edizione diplomatica del Nomocanone alla luce del sistema RE.CO.RD®, In Bollettino della Badia greca di Grottaferrata 1999",https://digi.vatlib.it/mss/detail/Barb.gr.455,https://digi.vatlib.it/view/MSS_Barb.gr.455,5.5
Barb.lat.302,palinsesto,10.0,Bibliographic References:,"Bibliographic References: 1) Tangari, Nicola Il palinsesto V C 14 della Biblioteca Nazionale di Napoli: un antifonario del secolo X/XI e il Doctrinale di Alexander de Villa Dei, Scritture e libri del medioevo 2026.",https://digi.vatlib.it/mss/detail/Barb.lat.302,https://digi.vatlib.it/view/MSS_Barb.lat.302,5.5
Barb.lat.311,palinsesto,10.0,Bibliographic References:,"Bibliographic References: 1) Falcioni, Eugenio Il De Balneis Puteolanis e l'Eneide: due testi, un unico supporto. Un palinsesto nel codice Ottoboniano Latino 2110, In Studi e Testi 516, In Miscellanea Bibliothecae Apostolicae Vaticanae 2017.",https://digi.vatlib.it/mss/detail/Barb.lat.311,https://digi.vatlib.it/view/MSS_Barb.lat.311,5.5
Barb.lat.3185,palinsesto,10.0,Bibliographic References:,"Low Quality Bibliographic References: 1) Baldi, Davide Il palinsesto Laur. Plut. 10.15, In Libri palinsesti greci: conservazione, restauro digitale, studio. Atti del Convegno internazionale, Villa Mondragone - Monte Porzio Catone - Università di Roma ""Tor Vergata"" - Biblioteca del Monumento Nazionale di Grottaferrata, 21-24 apr. 2004, 2008 2) Baldi, Davide Il palinsesto Laur. Plut. 57.26. Studio codicologico e paleografico. Con una postille su alcuni codici Laurenziani di origine salentina, In Byzantion 2007",https://digi.vatlib.it/mss/detail/Barb.lat.3185,https://digi.vatlib.it/view/MSS_Barb.lat.3185,5.5
Ott.gr.85,palinsesto,10.0,Bibliographic References:,"Bibliographic References: 1) Orsini, Pasquale Un foglio palinsesto nel codice Vat.gr.772, In Miscellanea Bibliothecae Apostolicae Vaticanae XIX (Studi e testi, 474), 2012",https://digi.vatlib.it/mss/detail/Ott.gr.85,https://digi.vatlib.it/view/MSS_Ott.gr.85,7.0
Ott.gr.179,palinsesto,10.0,Bibliographic References:,"Bibliographic References: 1) Orsini, Pasquale Un foglio palinsesto nel codice Vat.gr.772, In Miscellanea Bibliothecae Apostolicae Vaticanae XIX (Studi e testi, 474), 2012",https://digi.vatlib.it/mss/detail/Ott.gr.179,https://digi.vatlib.it/view/MSS_Ott.gr.179,7.0
Ott.gr.312,palinsesto,10.0,Bibliographic References:,"Bibliographic References: 1) Arnesano, Daniele, 1975- Il palinsesto Laur. Plut. 57.36. Una nota storica sull'assedio di Gallipoli e nuove testimonianza dialettali italo-meridionali, In Rivista di studi bizantini e neoellenici 2004",https://digi.vatlib.it/mss/detail/Ott.gr.312,https://digi.vatlib.it/view/MSS_Ott.gr.312,5.5
