shelfmark,aggregate_score,signal_count,signals,non_bibliographic_hits,detail_url,viewer_url,best_snippet
Chig.L.V.176,32.5,3,Dante autografo; Petrarca autografo; testo mutilo,3,https://digi.vatlib.it/mss/detail/Chig.L.V.176,https://digi.vatlib.it/view/MSS_Chig.L.V.176,1) Miscellanea di testi dante schi e petrarcheschi: il canone autografo di Giovanni Boccaccio. sec. XIV med.
Urb.lat.1618,32.0,3,Dante autografo; Erasmo autografo; Petrarca autografo,3,https://digi.vatlib.it/mss/detail/Urb.lat.1618,https://digi.vatlib.it/view/MSS_Urb.lat.1618,"1) 172r-174r: Gaudenzi, Paganino, 1595-1649 Alcuni passi del Petrarca considerati."
Vat.lat.1670,21.0,2,Napoleone autografo; Pio II inedita,2,https://digi.vatlib.it/mss/detail/Vat.lat.1670,https://digi.vatlib.it/view/MSS_Vat.lat.1670,"1) 10r-12r: Pandoni, Giannantonio, detto il Porcellio, c. 1405-c. 1485 Divo Pio II pont. max. de illustribus poetis oratoribus sui temporis."
Vat.lat.12895,14.9,2,Pio II inedita; lettera inedita,1,https://digi.vatlib.it/mss/detail/Vat.lat.12895,https://digi.vatlib.it/view/MSS_Vat.lat.12895,"1) 74r-74bv: Pellico, Silvio, 1789-1854 Lettera a Carlo Voigt."
Urb.lat.224,13.9,2,lettera inedita; testo mutilo,1,https://digi.vatlib.it/mss/detail/Urb.lat.224,https://digi.vatlib.it/view/MSS_Urb.lat.224,"1) 241r-246r: Bracciolini, Poggio, 1380-1459 Ad Karolum Aretinum [Marsuppini] Laurentii Medicis laudatio"
Urb.lat.1516-1520,11.5,1,Machiavelli autografo,1,https://digi.vatlib.it/mss/detail/Urb.lat.1516-1520,https://digi.vatlib.it/view/MSS_Urb.lat.1516-1520,"1) Urb.lat.1516, ff. 1r-8v: Gaudenzi, Paganino, 1595-1649 De religione et virtute ex animo colenda. Oratio contra Machiavellum eiusque discipulum [Kaspar Schoppe?]."
Vat.lat.3196,11.5,1,Petrarca autografo,1,https://digi.vatlib.it/mss/detail/Vat.lat.3196,https://digi.vatlib.it/view/MSS_Vat.lat.3196,"1) Francesco Petrarca , Rerum vulgarium fragmenta. sec. XIV med. 2) 1r-20v: Petrarca , Francesco, 1304-1374 Rerum vulgarium fragmenta."
Vat.lat.4105,11.5,1,Michelangelo autografo,1,https://digi.vatlib.it/mss/detail/Vat.lat.4105,https://digi.vatlib.it/view/MSS_Vat.lat.4105,"1) 312r: Tonti, Michelangelo , sec. XVI Lettera a Scipione Forteguerri."
Urb.lat.326,11.5,1,opera perduta,1,https://digi.vatlib.it/mss/detail/Urb.lat.326,https://digi.vatlib.it/view/MSS_Urb.lat.326,"1) Giovanni Antonio Campano, Vita et res gestae Braccii Fortebraccii. sec. XV ex"
Urb.lat.899,11.5,1,opera perduta,1,https://digi.vatlib.it/mss/detail/Urb.lat.899,https://digi.vatlib.it/view/MSS_Urb.lat.899,1) Ordine delle nozze dello illustrissimo messer Costanzo Sforza e Camilla d’Aragona. sec. XV ex
Vat.lat.4927,11.5,1,opera perduta,1,https://digi.vatlib.it/mss/detail/Vat.lat.4927,https://digi.vatlib.it/view/MSS_Vat.lat.4927,1) Materia seu Declaratio processus electionis. sec. XIV-XV
Urb.lat.1585,10.0,1,Dante autografo,1,https://digi.vatlib.it/mss/detail/Urb.lat.1585,https://digi.vatlib.it/view/MSS_Urb.lat.1585,"Low Quality 1) 82r-86v, 136r-139v, 181r-185v: Gaudenzi, Paganino, 1595-1649 Poesie, osservazioni e dissertazioni varie su Dante Alighieri; riduzione a versi sciolti di alcuni canti dell'Inferno e del Paradiso della Divina Commedia."
Arch.Cap.S.Pietro.I.14,9.5,1,testo mutilo,1,https://digi.vatlib.it/mss/detail/Arch.Cap.S.Pietro.I.14,https://digi.vatlib.it/view/MSS_Arch.Cap.S.Pietro.I.14,"1) 1r-125v: Romualdus Salernitanus, m. 1181 Chronicon"
Barb.lat.31,9.5,1,testo mutilo,1,https://digi.vatlib.it/mss/detail/Barb.lat.31,https://digi.vatlib.it/view/MSS_Barb.lat.31,"1) 1r-101v: Cicero, Marcus Tullius, 106-43 a.C. De officiis."
